anoPca,dataAtualizacao,dataPublicacaoPncp,cnpj,quantidade,valorTotal,razaoSocial,poder,esfera,ano
2024,2024-05-23T14:40:53,2023-12-30T17:28:54,12459632000105,951,42308941.67,MUNICIPIO DE BARREIRA,N,M,2024
2024,2024-05-23T16:25:51,2023-10-09T10:31:43,12459947000144,34,936105.64,MUNICIPIO DE BARREIRA - CAMARA MUNICIPAL,L,M,2024
2024,2023-12-31T07:13:36,2023-12-31T07:13:36,12461679000103,34,1575400.0,MUNICIPIO DE QUIXERE - CAMARA MUNICIPAL,L,M,2024
2024,2024-05-23T15:43:13,2023-12-31T06:51:20,12483558000154,62,2161275.0,MUNICIPIO DE AURORA - CAMARA MUNICIPAL,L,M,2024
2024,2024-04-15T21:40:27,2024-04-15T21:40:04,12511093000106,232,93388199.54,MUNICIPIO DE SANTA LUZIA DO PARUA,N,M,2024
2024,2024-05-23T15:19:32,2024-02-25T14:13:46,12652881000104,120,3351500.0,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE JOSE DA PENHA,E,M,2024
2024,2024-12-20T09:57:34,2024-04-05T16:17:35,12755884000173,419,1742267.3363,SUPERINTENDENCIA MUNICIPAL DE TRANSPORTES E TRANSITO,E,M,2024
2024,2024-05-08T18:42:37,2024-05-08T18:42:31,12842829000110,1144,36330279.7839,MUNICIPIO DE TEOTONIO VILELA,N,M,2024
2024,2023-12-28T12:38:55,2023-12-28T12:38:55,13019678000168,22,1160000.0,FUNDO DE APOSENTADORIA E PENSAO DO SERVIDOR - FAPS,E,M,2024
2024,2024-04-09T09:42:06,2024-03-19T11:03:25,13127340000120,1826,438211225.88, SECRETARIA DE ESTADO DE ADMINISTRACAO PENITENCIARIA - SEAP,E,E,2024
2024,2024-12-19T10:39:23,2024-02-05T17:59:26,13128814000158,1098,180943378.197,MUNICIPIO DE NOSSA SENHORA DO SOCORRO,N,M,2024
2024,2024-12-02T09:10:08,2024-12-02T09:10:08,13238803000120,37,3219620.22,JEQUIE CAMARA MUNICIPAL,L,M,2024
2024,2024-01-03T18:48:46,2024-01-03T18:48:46,13243514000110,30,1747035.84,BOA NOVA CAMARA MUNICIPAL,L,M,2024
2024,2025-02-12T13:34:59,2025-02-12T13:34:59,13307527000105,275,7295302.45,FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - FUNDO EMPREENDER PB.,E,E,2024
2024,2024-03-12T10:47:10,2024-02-20T15:46:38,13328683000152,1284,10584450.33,CONSORCIO PUBLICO DE SAUDE DA MICRORREGIAO DE LIMOEIRO DO NORTE - CPSMLN,E,N,2024
2024,2024-07-30T10:39:03,2024-06-07T14:07:46,13414982000100,56,3064502.94,SERVICO AUTONOMO DE AGUA E ESGOTO,E,M,2024
2024,2024-01-08T09:55:29,2024-01-06T16:43:16,13458732000171,41,1974404.37,CAMARA MUNICIPAL DE SAO FELIPE,L,M,2024
2024,2024-04-10T09:30:05,2024-04-10T09:30:05,13494079000104,7,12290.0,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE TERRA SANTA,E,M,2024
2024,2024-04-09T09:46:47,2024-03-19T11:04:55,13601172000162,56,490673.0,ESTADO DO MARANHAO - 12 BATALHAO DE POLICIA MILITAR DE ESTREITO,E,E,2024
2024,2024-02-07T16:30:43,2024-02-07T16:30:43,13750681000157,161,7223137.88,"AGENCIA REGULADORA DOS SERVICOS DE SANEAMENTO DAS BACIAS DOS RIOS PIRACICABA, CAPIVARI E JUNDIAI",E,N,2024
2024,2024-01-30T11:45:30,2024-01-30T11:45:30,13761721000166,18,389500.0,MUNICIPIO DE ALCOBACA,N,M,2024
2024,2024-09-02T16:37:04,2023-05-20T05:20:55,13802028000194,53,33326816.0736,SUPERINTENDENCIA DO DESENVOLVIMENTO DO CENTRO-OESTE,E,F,2024
2024,2024-07-30T13:29:21,2024-07-30T13:29:21,13825492000104,8,990000.0,MUNICIPIO DE LAJE,N,M,2024
2024,2024-02-27T08:38:11,2023-12-26T13:40:53,13898581000172,479,95187785.7195,PERICIA OFICIAL DO ESTADO DE ALAGOAS,E,E,2024
